supplier_id;name;swsdfid;swsdfusdid;swsdpid;navid;swsdfid_ari;swsdpid_ari
410;J11154 JUICY COUTURE - едхмюъ ебпною;0;0;15439137;0;(null);(null)
411;K55543 K & K;0;0;16222221;0;(null);(null)
412;K30013 KIMMI пхьщя;0;0;15233568;0;(null);(null)
413;K02000 KONDI-2000 OOO;0;0;10902948;0;(null);(null)
414;LC23456 LACOSTE - едхмюъ ебпною;0;0;14008246;0;(null);(null)
415;E15200 LAMARTHE ELIT BAGS;0;0;16222207;0;(null);(null)
416;L65655 LANCASTER - едхмюъ ебпною;0;0;14116318;0;(null);(null)
417;L0001 LANCOME DP SKY;0;0;11852186;0;(null);(null)
418;MA252000 MAMIX;0;0;14050013;0;(null);(null)
419;C99918 MCG CONSULTANTS;0;0;15401914;0;(null);(null)
420;E55553 MIMMINA FLOWER EXILITY;0;0;16223570;0;(null);(null)
421;M10555 MISAKI V.T.LTD;0;0;10902970;0;(null);(null)
422;M56789 MOSCHINO - едхмюъ ебпною;0;0;14008128;0;(null);(null)
423;NR12345 NINA RICCI - едхмюъ ебпною;0;0;14008129;0;(null);(null)
424;PR23334 PACO RABANNE - едхмюъ ебпною;0;0;14008262;0;(null);(null)
425;P52011 PANASONIC MARKETING CIS OY;0;0;15979893;0;(null);(null)
426;PA55555 PARKER;0;0;15407860;0;(null);(null)
427;O10004 PHILIPS DAP DIVISION;10907523;10907523;16222231;0;(null);(null)
428;P66651 PRADA - едхмюъ ебпною;0;0;14382789;0;(null);(null)
429;PT23456 PT SWITZELAND;0;0;15971533;0;(null);(null)
430;P88888 PUIG SKY;0;0;15975548;0;(null);(null)
431;IRISHBAR DP;0;0;10971587;0;(null);(null)
432;R11133 RICH бхйрнпхъ;0;0;16222765;0;(null);(null)
433;RC12345 ROBERTO CAVALLI - едхмюъ ебпною;0;0;15439549;0;(null);(null)
434;R99999 ROSALKO-NEVA ZAO;23815698;23815698;13698064;0;(null);(null)
435;S13579 SAG TRADING LLC;0;0;15964075;0;(null);(null)
436;SH33333_SCHCHARD&FRIESE;0;0;16223050;0;(null);(null)
437;S10333 SCORPIO TRAVEL RETAIL;0;0;11450576;0;(null);(null)
438;S88888 SEEBERGER;0;0;16222282;0;(null);(null)
439;S50005 SELDICO DIOR;0;0;13978112;0;(null);(null)
440;S20002 SELDICO GIVENCHY;0;0;13978109;0;(null);(null)
441;S30003 SELDICO GUERLAIN;0;0;13978110;0;(null);(null)
442;S40004 SELDICO KENZO;0;0;13978111;0;(null);(null)
443;S10001 SELDICO OLD;0;0;10903002;0;(null);(null)
444;S99999 STETSON;0;0;16222281;0;(null);(null)
445;TK11511 TBN KENNETH COLE;0;0;16223333;0;(null);(null)
446;TA11511 TBN TIME(AEROWATCH);0;0;15946228;0;(null);(null)
447;TG11511 TBN TIME(GALLIANO);0;0;15946229;0;(null);(null)
