supplier_id;name;swsdfid;swsdpid;Vendor No_
1085;L44115 LAVIANA ART LIMITED;43147037;0;
1257;L44444_ кта ннн;0;15922954;
180;L44444_OOO кта;0;15922954;
1089;L54321 L'OCCITANE;20475049;14867972;O_SUP155
753;L55545 LUXOTTICA EURO;10907320;0;
416;L65655 LANCASTER - едхмюъ ебпною;0;14116318;
182;L98888 LEGO;0;15087679;
1083;L99908 LANCEL BOUTIQUE;30771147;0;
757;L99989 LEGO OVERSEAS A/S;10907513;0;
1087;L99999 LES COPAINS (BVM);22245319;0;
1081;LA33312 LAMARTIS;45120901;0;
758;LA55516 LAMY-ALD INT;24329398;0;
1086;LC0001 LES CONTES;40531999;15358688;
414;LC23456 LACOSTE - едхмюъ ебпною;0;14008246;
471;LG00037 кюйьепх цпсоо;0;16223041;
760;LG3333+ LINIYA-GRAFIK ZAO;20251636;0;
1090;LP22222 L'OREAL PARIS;29342664;13934538;O_SUP024
764;LW20005 LOEWE PERFUMES;29202341;0;
189;M00008 MARKET CONNECTIONS;0;11380711;
766;M00056 PRICILLA CHAN;10924083;0;
1201;M00137 MADARA бхйрнпхъ;0;16223781;
1212;M00411 ннн лнкейскю;45125577;16223732;I_SUP411
195;M04660 ннн лхпюмх;0;16223637;
767;M10010 MOBILE ENERGY;10940038;0;
769;M10045 MEUKOW FELINE COGNAC;10907321;0;O_SUP500
770;M10049 MARS HOLLAND;10924084;0;O_SUP447
197;M10049 люпя цнккюмдхъ;0;15900160;
773;M10066+ MS HOLDING PLUS;10924081;0;
774;M10088 MARNE & CHAMPAGNE DIFFUSION;10924086;0;O_SUP522
999;M10096 AYDYA LTD TRAVALO MC;45121261;15981555;
421;M10555 MISAKI V.T.LTD;0;10902970;
779;M10980 MAJORICA EURO;10907324;0;O_SUP225
199;M11000 ьюпл OOO;0;10912570;
783;M11555 MANCERA ESTERK;32455976;0;
786;M12346 STARY MASTER OOO;10924116;0;
202;M12346 ярюпши люяреп мб ннн;0;10969454;I_SUP076
1101;M12456 MEDVED TD OOO;40267364;0;
789;M16789 лъцйхи лхп OOO;27137465;0;
1106;M20002 MONTBLANC SIMPLO GMBH;10907269;0;
1107;M20031 MOSCHINO EUROITALIA;19241819;16064645;
1096;M22223 MARUSYA BEVER RUSS OOO;25951767;0;
206;M23222 MORGAN & OATES;0;15981670;
460;M33000 юя-люпйер;0;13441619;
790;M33312 AS-MARKET;23768789;0;
791;M44118 MARCO POLO;10907517;0;
473;M44499 лепхдхюм рпеидхмц;0;13539670;
793;M51047 MISAKI VT LTD SKY;10907414;0;
794;M54321 MARCOLIN;10907415;0;
207;M54321 MARCOLIN GROUP;0;11103527;
1080;M54789 LA MARQUISE;34274819;0;
1142;M55545 SIA MONO;40062409;0;
1099;M55555 MAV;40529713;0;
422;M56789 MOSCHINO - едхмюъ ебпною;0;14008128;
1258;M71113 люпп псяяхъ ннн;0;16223418;I_SUP089
796;M73579 RAYMOND WEIL WATCHES;10907270;0;
1102;M75321 MEIRA T;42567702;0;
1093;M87654 MAISON MARTIN MARGIELA PBI;37221726;0;
1094;M88899 MARCHON UK LTD;10923909;0;O_SUP097
1095;M99945 MARKA;44667433;0;
798;M99979 MATTEL EUROPA;10907518;0;
1226;M99989 EDRINGTON;10907325;0;
1100;M99989 MAXXIUM TRAVEL RETAIL;10907325;0;
1098;M99999 MAUI JIM SUNGLASSES;13641521;0;
418;MA252000 MAMIX;0;14050013;
213;MA8888 лхмхсл юпр йнкк;45125188;16223577;
1196;MD GOURMEX LTD;36919341;15481810;O_SUP556
1202;MF5432 MAX FACTOR -едхмюъ ебпною;0;16223727;
1105;MHCS001 MHCS-SERVICE CLIENT&OPERATIONS LOGISTQUES;22297157;0;
474;MIL1234 лхкюп;0;15946888;
214;MJ33330 MARC JACOBS - едхмюъ ебпною;0;14008126;
1203;MO00672 ATKINSONS;0;16223787;
1184;MONTALE аюкрхйнл;41947842;16064641;
1104;MP55555 MEPI;15934937;13934708;
1092;MT12345 MAGIC TEXTILE TRADING LTD;39279514;0;
802;N10011 SAFILO;10907519;0;
806;N12333+ NASLEDIE;21910627;0;
808;N15150 NEMIROFF COMPANY;10907271;0;
810;N34420 NESTLE WORLD TRADE;10907521;0;
1109;N55555 NAT OOO;32300083;0;
948;N66656 вхярне меан;0;16222844;I_SUP394
0;NA;0;0;
812;NB0001 NOUVELLE BAGUE;36316569;0;
475;NL654321 мейяхр кнцхярхй OOO;0;16064071;I_SUP369
423;NR12345 NINA RICCI - едхмюъ ебпною;0;14008129;
813;O10001 ORO VITCHENZA;10907522;0;
484;O33456 норхлюрнпц OOO;0;16064069;
989;O45566 AJ ARABIA наяхдхюмр;45124635;16223552;
1154;O55533 TDK (ORO GOLD);45125285;16223627;
996;O65321 AMOUAGE наяхдхюмр;37985082;16147160;
1204;O65432_OOO бняэлюъ хлоепхъ;0;16223729;I_SUP404
228;OE5555 гюн нпхемрюк щйяопеяя;0;16222989;
1111;OK00364 OB KONDITERY OOO;43239345;15981118;
483;OP65433 норхлю окчя;0;16222683;
1233;OSUP694 CHOBI;45126108;0;
1117;OV55550 OVERSEAS;45124213;0;
233;P000005 ннн опнбюмя;45124728;16223407;
234;P01997 LA PRAIRIE;10907524;16223685;O_SUP158
235;P05321 PACO RABANNE PUIG;10907525;16157273;
237;P10000 PRADA PUIG;10907328;16157277;
824;P10001 PREMIER PORTFOLIO EURO SKY;10907462;0;
826;P10078 CACHAREL PBI;10907274;0;
827;P10079 RALPH LAUREN PBI;10907329;0;
828;P10080 GIORGIO ARMANI PBI;10907463;0;O_SUP072
829;P10081 PALOMA PICASSO PBI;10907222;0;
1167;P10085 VICTOR & ROLF PBI;10907373;14877525;
1034;P10095 DIESEL PBI;12560437;0;
831;P10099 HELENA RUBINSTEIN PBI;10907275;15981229;
837;P11111 PORTSELAN;10907583;0;
1126;P11115 PORTOLANO;14919314;0;
1198;P12000 12 PARFUMERS INTERLUX 2;45125473;16223709;
240;P12333 PORTOLANO;0;11713782;
840;P14673 LANCOME PBI;10907584;0;O_SUP082
844;P17290 GIVENCHY PARFUMS;10907420;0;
1191;P234550 онцюпяйюъ яхцюпермн-яхцюпмюъ тюапхйю;45123046;0;
1119;P65656 PAL ZILERI LAB;45120830;0;
428;P66651 PRADA - едхмюъ ебпною;0;14382789;
244;P75000 LANCOME PBI;0;15192910;O_SUP082
245;P78000 CACHAREL PBI;0;14877524;
372;P80000 ARMANI;0;14877523;
1118;P85858 PAL ZILERI;16332029;0;
1125;P87654 POLICE TIME WATCHES;29316730;0;
1122;P97531 PERRIS MONTE CARLO INTERLUX;45125116;16223541;
1120;P99988 PATRON SPIRIT COMPANY;16584038;0;
851;P99999 PAT SAYS NOW;13034660;0;
426;PA55555 PARKER;0;15407860;
854;PC10002 CARTIER JEWELLERY;10907225;0;O_SUP215
1124;PI99999 PIANEGONDA;12336953;0;
857;PM 12399 PARRIS MONTE CARLO (кюйьепх);45125410;0;
249;PM12399 PARRIS MONTE CARLO (кюйьепх);0;16223663;
250;PM44450 PERRIS MONTE CARLO INTERLUX 2;45125275;16223623;
367;PR 123366 PREMIER PORTFOLIO;0;12489786;
424;PR23334 PACO RABANNE - едхмюъ ебпною;0;14008262;
429;PT23456 PT SWITZELAND;0;15971533;
253;PW55555 POLICE TIME WATCH;0;15059512;
