supplier_id;name;swsdfid;swsdpid
770;M10049 MARS HOLLAND;10924084;0
773;M10066+ MS HOLDING PLUS;10924081;0
774;M10088 MARNE & CHAMPAGNE DIFFUSION;10924086;0
779;M10980 MAJORICA EURO;10907324;0
783;M11555 MANCERA ESTERK;32455976;0
786;M12346 STARY MASTER OOO;10924116;0
789;M16789 лъцйхи лхп OOO;27137465;0
790;M33312 AS-MARKET;23768789;0
791;M44118 MARCO POLO;10907517;0
793;M51047 MISAKI VT LTD SKY;10907414;0
794;M54321 MARCOLIN;10907415;0
796;M73579 RAYMOND WEIL WATCHES;10907270;0
798;M99979 MATTEL EUROPA;10907518;0
802;N10011 SAFILO;10907519;0
806;N12333+ NASLEDIE;21910627;0
808;N15150 NEMIROFF COMPANY;10907271;0
810;N34420 NESTLE WORLD TRADE;10907521;0
812;NB0001 NOUVELLE BAGUE;36316569;0
813;O10001 ORO VITCHENZA;10907522;0
824;P10001 PREMIER PORTFOLIO EURO SKY;10907462;0
826;P10078 CACHAREL PBI;10907274;0
827;P10079 RALPH LAUREN PBI;10907329;0
828;P10080 GIORGIO ARMANI PBI;10907463;0
829;P10081 PALOMA PICASSO PBI;10907222;0
831;P10099 HELENA RUBINSTEIN PBI;10907275;0
837;P11111 PORTSELAN;10907583;0
840;P14673 LANCOME PBI;10907584;0
844;P17290 GIVENCHY PARFUMS;10907420;0
851;P99999 PAT SAYS NOW;13034660;0
854;PC10002 CARTIER JEWELLERY;10907225;0
857;PM 12399 PARRIS MONTE CARLO (кюйьепх);45125410;0
864;R10047+ BIONT LTD RBN;10924126;0
865;R10053 REMY MARTIN;10907533;0
869;R12345 RUSSIAN OSETR;22575112;0
870;R12369 RADO WATCHES;10907424;0
871;R16900 ITIL (REEMTSMA INT);10907469;0
873;R25255 ROTOR HOUSE;32030767;0
876;R89732 RUSS BERRIE UK LTD;10907374;0
879;S01607 SHISEIDO EUROPE;10907536;0
883;S10014 SAMSONITE EUROPE;10907377;0
888;S10103 STORCK INTERNATIONAL;10907228;0
890;S10133 SWAROVSKI JEWELLERY;10907281;0
894;S11001 SILHOUETTE INT;10907471;0
900;S33333 SOUNDLINE;10912490;0
904;S70216 OMEGA WATCHES;10907381;0
905;S84443 SWAROVSKI SKY;10907336;0
906;S99989 SWAROVSKI SILVER CRYSTAL;10907473;0
910;ST0000 STEP GROUP OOO;10907475;0
911;ST12345 TAMBER SP;10907476;0
925;T12345 TOMAS SABO SILVER;10907429;0
928;T32759 TEXIER;10907430;0
929;T55545 PAUL & SHARK;10907382;0
930;T65545 TONUS ннн;43255373;0
932;T81379 TISSOT WATCHES;10907235;0
934;TAG1234 TAG HEUER WATCHES;10907236;0
935;TD11757 SWK TD;10907479;0
937;TR12345 TRAVELTELECOM;10923967;0
938;U11111 UNITOYS OOO;11352618;0
939;U12222 U.TOYS;15105661;0
940;U14222 DIAGEO UDV+BAILEYS;10907338;0
942;U55555 UNIT;30392527;0
943;U86366 UNDERBERG;10907179;0
948;N66656 вхярне меан;0;16222844
949;E10001 щйяоняепбхя OOO;0;10908930
950;E20002 щйяонрпеид ннн;0;14183052
951;E25555 щкхр ащцг (CK);0;16223530
953;B14270 апюгхя кнцхярхй;0;16223699
959;V33344 ITALCOM;10907339;0
960;V55331 VERBILKI PORCELAIN WORKS;29007930;0
963;V87654+ VESTA TRADE;31862360;0
964;W00111 WHITE HALL CENTER;10907541;0
972;Y10009 MAJORICA SKY;10907340;0
977;ZD12345 ZENITH WATCHES;10907484;0
986;AB9999+ AEROBRIDGE UNION;39373863;15861076
