Division_Code;PLU;Barcode;Blocked
02;878842;2100008788424;0
02;889821;2100008898215;0
02;889848;2100008898482;0
02;889849;2100008898499;0
02;891042;2100008910429;0
02;891047;2100008910474;0
02;891048;2100008910481;0
02;891049;2100008910498;0
02;891051;2100008910511;0
02;891052;2100008910528;0
02;891053;2100008910535;0
02;891054;2100008910542;0
02;891055;2100008910559;0
02;891056;2100008910566;0
02;891057;2100008910573;0
02;891058;2100008910580;0
03;048070;2100000480708;0
03;152118;2100001521189;0
03;155926;2100001559267;0
03;165077;2100001650773;0
03;202211;2000002022114;0
03;205367;20714202231;0
03;205370;20714139193;0
03;205570;27131180067;0
03;205578;27131191575;0
03;205579;27131191582;0
03;205580;27131191599;0
03;205592;27131193616;0
03;205599;27131198529;0
03;205603;27131205111;0
03;205617;27131302803;0
03;205628;27131223726;0
03;205648;27131304739;1
03;205655;27131306450;0
03;205656;27131251521;1
03;205671;27131268369;0
03;205672;27131311829;0
03;205673;27131311874;1
03;205675;27131311935;0
03;205692;27131271352;1
03;205694;27131313816;0
03;205695;27131313823;0
03;205696;27131315490;0
03;205698;27131280668;0
03;205700;27131281092;0
03;205702;27131281658;0
03;205751;27131292753;0
03;205752;27131292777;0
03;205753;27131292784;0
03;205754;27131292791;0
03;205755;27131292807;0
03;205757;27131294603;0
03;205758;27131294610;0
03;205759;27131294627;0
03;205764;27131295297;1
03;205766;27131295341;0
03;205767;27131295440;0
03;205768;27131296485;0
03;205793;27131331889;0
03;205794;27131331919;0
03;205795;27131331940;0
03;205797;27131332275;0
03;205812;27131341161;0
03;205815;27131345565;0
03;205816;27131345602;0
03;205820;27131346265;1
03;205831;27131361008;0
03;205832;27131361039;0
03;205891;20714104726;0
03;205892;20714222857;0
03;206874;2100002068744;0
03;206898;2100002068980;0
03;208007;27131332268;0
03;208008;27131332282;0
03;208009;27131340805;0
03;208010;27131368243;0
03;208011;27131368182;0
03;208229;20714219772;0
03;208230;20714222215;0
03;208231;20714232023;0
03;208232;20714066123;0
03;208233;20714199883;0
03;208234;20714244316;0
03;208235;20714244323;0
03;208236;20714244330;0
03;208237;20714244347;0
03;208238;20714244354;0
03;208283;20714211189;0
03;208284;20714219956;0
03;208285;20714236298;0
03;208288;27131225164;0
03;208289;27131339892;0
03;208290;27131358180;0
03;208290;27131358190;0
03;208479;20714236922;0
03;208480;20714236960;0
03;208481;20714240196;0
03;208482;20714240271;0
03;208483;20714224011;0
03;208484;20714224035;0
03;208485;20714237134;0
03;208486;20714237158;0
03;208487;20714237165;0
03;208489;20714237189;0
03;208490;20714237226;0
03;208491;20714226473;0
03;208594;27131352044;0
03;208595;27131352082;0
03;208596;27131352105;0
03;208597;27131352112;0
03;208598;27131352143;0
03;208599;27131372417;0
03;208600;27131248101;0
03;208601;27131248095;0
03;208602;27131313540;0
03;208603;22548104637;0
03;209166;2100002091667;0
03;209202;2100002092022;0
03;212681;2100002126819;0
03;212682;2100002126826;0
03;212684;2100002126840;0
03;216142;2100008903902;0
03;217847;2100002178474;0
03;220739;2100002207396;0
03;223442;2100002234422;0
03;236607;2100002366079;0
03;236817;2000002368175;0
03;259371;2100002593710;0
03;275476;2605520385569;0
03;291623;2100002916236;0
03;291626;20714352080;0
03;319126;2100008893029;0
03;324249;2100003242495;0
03;361806;2100008885918;0
03;361807;2100008893593;0
03;363094;2100008885901;0
03;363095;2100008893715;0
03;363188;2100003631886;0
03;363385;2100008904886;0
03;363888;2100003638885;0
03;364170;2100008883044;0
03;365532;2100003655325;0
03;369329;2100008883921;0
03;370703;2000008897983;0
03;702896;2000007028968;0
03;702896;2000042301217;0
03;702897;2000007028975;0
03;702897;2000027100019;0
03;702898;2000007028982;0
03;702899;2000007028999;0
03;702900;2000007029002;0
03;702901;2000007029019;0
03;702902;2000007029026;0
03;705186;2000030640014;0
03;705186;2000007051867;0
03;705187;2000007051874;0
03;705187;2000042301101;0
03;705188;2000030620016;0
03;705188;2000007051881;0
03;705189;2000007051898;0
03;705189;2000042300364;0
03;705190;2000042300388;0
03;705190;2000007051904;0
03;705191;2000007051911;0
03;705192;2000042301385;0
03;705192;2000007051928;0
03;705193;2000007051935;0
03;705194;2000007051942;0
03;705194;2000042300920;0
03;705195;2000007051959;0
03;705196;2000007051966;0
03;705196;2000042300401;0
03;705197;2000007051973;0
03;705198;2000007051980;0
03;705199;2000007051997;0
03;705200;2000007052000;0
03;705200;2000027050017;0
03;705201;2000042300166;0
03;705201;2000007052017;0
03;705202;2000007052024;0
03;705202;2000015680011;0
03;705203;2000007052031;0
03;705203;2000042301187;0
03;705220;2000007052208;0
03;705711;2000007057111;0
03;706255;2000042300715;0
03;706255;2000007062559;0
03;709008;2000034390014;0
03;709009;2000034380015;0
03;713465;2000035530013;0
03;713465;2000007134652;0
03;713466;2000007134669;0
03;713467;2000035500016;0
03;713467;2000007134676;0
03;713468;2000035510015;0
03;713468;2000007134683;0
03;713469;2000042300951;0
03;713469;2000007134690;0
03;713470;2000042300791;0
03;713470;2000007134706;0
03;713777;2000007137776;0
03;713777;2000032890011;0
03;713778;2000007137783;0
03;713779;2000030670011;0
