Code	NAME	match	measure value	GLOSSARY_ID_DF	SWS_DF
JPG               	JPG                      				                         
B01047            	JUDITH LEIBER            	JUDITH LEIBER	1	45122870	JUDITH LEIBER            
JUICE BEAUTY      	Juice Beauty             	ICEBERG	0,4	45122699	ICEBERG                  
J_COUTURE         	Juicy Couture            	J_COUTURE	0,7	45125020	J_COUTURE                
J_DESTR           	Jules Destrooper         	J_DESTR	0,4	45122312	J_DESTR                  
JULIETTE HAS A GUN	JULIETTE HAS A GUN       	JULIETTE HAS A GUN	1	45122718	JULIETTE HAS A GUN       
B01048            	JUNFA                    	JUNFA	1	45122875	JUNFA                    
B01049            	JUST CAVALLI             	JUST CAVALLI	1	45126221	JUST CAVALLI             
JUST PLAY         	Just Play                	JUST	0,7	45122396	JUST                     
B01050            	JVC                      	JV	0,7		JV                       
JW                	JW                       	JW	1	45122164	JW                       
JWB               	JW Black                 	BLACK VELVET	0,6	45122733	BLACK VELVET             
JWM               	JW Malt                  	AJMAL	0,5	45124189	AJMAL                    
JWR               	JW Red                   	BYREDO	0,5	45123749	BYREDO                   
K BY KILIAN       	K by Kilian              	K by KILIAN	1	45123750	K by KILIAN              
KAHLUA            	Kahlua                   	UMKA	0,2	45122811	UMKA                     
KALOO             	Kaloo                    	LALALOOPSY	0,5	45123529	LALALOOPSY               
KAMCHADAL         	Kamchadal                	LONGCHAMP	0,4	45122395	LONGCHAMP                
KARL_LAG          	Karl Lagerfeld           	KARL LAGERFELD	1	45122680	KARL LAGERFELD           
KAZUMIAN          	Kazumian                 	KAZUMIAN	1	45122303	KAZUMIAN                 
KDLAB ARAREE      	Kdlab Araree             	KDLAB ARAREE	1	45124464	KDLAB ARAREE             
KEEL TOYS         	KEEL TOYS                	KEEL TOYS	1	45122819	KEEL TOYS                
KEEL_TOYS         	Keel Toys                	KEEL TOYS	1	45122819	KEEL TOYS                
B01479            	KEIKO MECHERI            	KEIKO MECHERI	1	45125128	KEIKO MECHERI            
B01051            	KEITH HARING             	THE ART OF SHAVING	0,5	45122806	THE ART OF SHAVING       
B01472            	Kenneth Cole             	Kenneth Cole	1		Kenneth Cole             
B01052            	KENSINGTON               	SINGLETON	0,6	45122587	SINGLETON                
KENT              	Kent                     	KENT	1	45122212	KENT                     
KENZO             	Kenzo                    	KENZO	1	45122265	KENZO                    
B01499            	Kesslord                 	KESSLORD	1		KESSLORD                 
B01053            	KIDZ TECH                	KIDZTECH	0,9	45123528	KIDZTECH                 
KIDZTECH          	KidzTech                 	KIDZTECH	1	45123528	KIDZTECH                 
B01402            	KidzTech                 	KIDZTECH	1	45123528	KIDZTECH                 
B01054            	KIEHL'S                  	KIEHL'S	1	45122411	KIEHL'S                  
B01055            	KILLER LOOP              	PAL ZILERI	0,4	45122529	PAL ZILERI               
KILLER_LOOP       	KILLER_LOOP              	PAL ZILERI	0,4	45122529	PAL ZILERI               
KIMMI             	Kimmi                    	KIMMI	1		KIMMI                    
KINDER            	Kinder                   	KINDER	1	45125222	KINDER                   
B01061            	KING ROBERT              	KING ROBERT	1	45122854	KING ROBERT              
KING_EDW          	KING_EDW                 	KIPLING	0,5	45122315	KIPLING                  
B01062            	KINGSTON                 	WINSTON	0,6	45122202	WINSTON                  
KINSKI            	Kinski                   	KINSKI	1	45122882	KINSKI                   
KIPLING           	KIPLING                  	KIPLING	1	45122315	KIPLING                  
KIT_KAT           	Kit Kat                  	KIT_KAT	0,8	45123418	KIT_KAT                  
KNAPPOGUE         	KNAPPOGUE                	KNAPPOGUE	1	45124044	KNAPPOGUE                
KODKOD            	KODKOD                   	KODKOD	1	45122541	KODKOD                   
B01063            	KOLBER                   	AMBER	0,4	45122185	AMBER                    
B01423            	Kondi                    	Kondi	1		Kondi                    
KONFAEL           	KONFAEL                  	RAFFAELLO	0,4	45126123	RAFFAELLO                
KORKUNOV          	Korkunov                 	KORKUNOV	1	45122744	KORKUNOV                 
KORLOFF           	Korloff                  	KORLOFF	1	45122457	KORLOFF                  
B01064            	KREMLIN AWARD            	KREMLIN AWARD	1	45122523	KREMLIN AWARD            
KRUG CHAMP        	Krug Champagne           	KRUG	0,4	45122880	KRUG                     
KRUSELL           	Krusell                  	RUSS	0,4	45122362	RUSS                     
KUKLI MASLENNIKIVO	KUKLI GALINI MASLENNIKOVO	KUKLI MASLENNIKIVOY	0,8	45123731	KUKLI MASLENNIKIVOY      
B01065            	KWEICHOW MOUTAI          	KWEICHOW MOUTAI	1	45122735	KWEICHOW MOUTAI          
KYUTEC            	Kyutec                   	KYUTEC	1	45124857	KYUTEC                   
B01067            	L&M                      	L&M	1	45123051	L&M                      
B01068            	LA - TWEEZ               	LA TWEEZ	1	45124726	LA TWEEZ                 
LA BAGAGERIE      	La Bagagerie             	MAGERIT	0,5	45122394	MAGERIT                  
LA CHANCE         	La Chance                	LA CHANCE	1	45124863	LA CHANCE                
B01069            	LA CROIX DE CHENE        	LACROIX	0,6	45122498	LACROIX                  
B01072            	LA LAGUNE                	LA LAGUNE	1	45122620	LA LAGUNE                
B01420            	La Marquise              	LA MARQUISE	1	45123617	LA MARQUISE              
B01073            	LA MER                   	LA MER	1	45122368	LA MER                   
LA_PERLA          	La Perla                 	LA MER	0,5	45122368	LA MER                   
LA_PRA            	La Prairie               	LA_PRA	0,5	45122334	LA_PRA                   
B01074            	LA ROSE BEL AIR          	LA ROSE BEL AIR	1	45122785	LA ROSE BEL AIR          
B01075            	LA TWEEZ                 	LA TWEEZ	1	45124726	LA TWEEZ                 
LA VIEILLE        	La Vieille               	CHATEAU TROTTE VIEILLE	0,5	45122290	CHATEAU TROTTE VIEILLE   
LABORATORIO MILANO	Laboratorio Milano       	PORTOLANO	0,4	45122658	PORTOLANO                
LACOSTE           	LACOSTE                  	LACOSTE	1	45123423	LACOSTE                  
LACROIX           	LACROIX                  	LACROIX	1	45122498	LACROIX                  
LADOGA            	Ladoga                   	RADO	0,5	45122306	RADO                     
B01076            	LAFITE ROTHSCHILD        	CHATEAU MOUTON ROTHSCHILD	0,6	45122622	CHATEAU MOUTON ROTHSCHILD
LAGREZETTE        	Lagrezette               	LAGREZETTE	1	45122631	LAGREZETTE               
B01460            	LALALOOPSY               	LALALOOPSY	1	45123529	LALALOOPSY               
LAMARTHE          	Lamarthe                 	LAMARTHE	1		LAMARTHE                 
B01441            	LAMARTIS                 	LAMARTIS	1	45122916	LAMARTIS                 
B01475            	Lamborghini              	LAMBORGHINI	1		LAMBORGHINI              
L_RUM             	Lambs Rum                	AMARULA	0,5	45122291	AMARULA                  
LANCASTER         	Lancaster                	LANCASTER	1	45122360	LANCASTER                
LANCEL            	Lancel                   	LANCEL	1	45122372	LANCEL                   
LANCOME           	Lancome                  	Lancome	1	45122200	Lancome                  
B01078            	LANSON                   	LANSON	1	45122193	LANSON                   
LANVIN            	Lanvin                   	LANVIN	1	45122309	LANVIN                   
LANPHROAIG        	Laphroaig                	LAPHROAIG	1	45122465	LAPHROAIG                
LAPPONIA          	Lapponia                 	LAPPONIA	1	45122353	LAPPONIA                 
L_GIN             	Larios Gin               	CLARINS	0,6	45122252	CLARINS                  
LAROCHE           	LAROCHE                  	F_ROCHER	0,6	45125221	F_ROCHER                 
B01079            	LAS CAMPANAS             	LAS CAMPANAS	1	45122293	LAS CAMPANAS             
