name;swsdfusdid;swsdfid;swsdpid;Vendor No_
NR12345 NINA RICCI - едхмюъ ебпною;0;0;14008129;
O10001 ORO VITCHENZA;10907522;10907522;0;
O33456 норхлюрнпц OOO;0;0;16064069;
O45566 AJ ARABIA наяхдхюмр;45124635;45124635;16223552;
O55533 TDK (ORO GOLD);45125285;45125285;16223627;
O65321 AMOUAGE наяхдхюмр;37985082;37985082;16147160;
O65432_OOO бняэлюъ хлоепхъ;0;0;16223729;I_SUP404
OE5555 гюн нпхемрюк щйяопеяя;0;0;16222989;
OK00364 OB KONDITERY OOO;43239345;43239345;15981118;
OP65433 норхлю окчя;0;0;16222683;
OSUP694 CHOBI;45126108;45126108;0;
OV55550 OVERSEAS;45124213;45124213;0;
P000005 ннн опнбюмя;45124728;45124728;16223407;
P01997 LA PRAIRIE;10907524;10907524;16223685;O_SUP158
P05321 PACO RABANNE PUIG;10907525;10907525;16157273;
P10000 PRADA PUIG;10907328;10907328;16157277;
P10001 PREMIER PORTFOLIO EURO SKY;10907462;10907462;0;
P10078 CACHAREL PBI;10907274;10907274;0;
P10079 RALPH LAUREN PBI;10907329;10907329;0;
P10080 GIORGIO ARMANI PBI;10907463;10907463;0;O_SUP072
P10081 PALOMA PICASSO PBI;10907222;10907222;0;
P10085 VICTOR & ROLF PBI;10907373;10907373;14877525;
P10095 DIESEL PBI;12560437;12560437;0;
P10099 HELENA RUBINSTEIN PBI;10907275;10907275;15981229;
P11111 PORTSELAN;10907583;10907583;0;
P11115 PORTOLANO;14919314;14919314;0;
P12000 12 PARFUMERS INTERLUX 2;45125473;45125473;16223709;
P12333 PORTOLANO;0;0;11713782;
P14673 LANCOME PBI;10907584;10907584;0;O_SUP082
P17290 GIVENCHY PARFUMS;10907420;10907420;0;
P234550 онцюпяйюъ яхцюпермн-яхцюпмюъ тюапхйю;45123046;45123046;0;
P65656 PAL ZILERI LAB;45120830;45120830;0;
P66651 PRADA - едхмюъ ебпною;0;0;14382789;
P75000 LANCOME PBI;0;0;15192910;
P78000 CACHAREL PBI;0;0;14877524;
P80000 ARMANI;0;0;14877523;
P85858 PAL ZILERI;16332029;16332029;0;
P87654 POLICE TIME WATCHES;29316730;29316730;0;
P97531 PERRIS MONTE CARLO INTERLUX;45125116;45125116;16223541;
P99988 PATRON SPIRIT COMPANY;16584038;16584038;0;
P99999 PAT SAYS NOW;13034660;13034660;0;
PA55555 PARKER;0;0;15407860;
PC10002 CARTIER JEWELLERY;10907225;10907225;0;
PI99999 PIANEGONDA;12336953;12336953;0;
PM 12399 PARRIS MONTE CARLO (кюйьепх);45125410;45125410;0;
PM12399 PARRIS MONTE CARLO (кюйьепх);0;0;16223663;
PM44450 PERRIS MONTE CARLO INTERLUX 2;45125275;45125275;16223623;
PR 123366 PREMIER PORTFOLIO;0;0;12489786;
PR23334 PACO RABANNE - едхмюъ ебпною;0;0;14008262;
PT23456 PT SWITZELAND;0;0;15971533;
PW55555 POLICE TIME WATCH;0;0;15059512;
R00368 пейя рпеидхмц нюн;0;0;16064643;
R10047+ BIONT LTD RBN;10924126;10924126;0;
R10053 REMY MARTIN;10907533;10907533;0;
R10060 BVLGARI;10907277;10907277;16032127;
R11133 RICH бхйрнпхъ;0;0;16222765;
R12345 RATTI COLLECTION;0;0;10910007;
R12345 RUSSIAN OSETR;22575112;22575112;0;
R12369 RADO WATCHES;10907424;10907424;0;
R16900 ITIL (REEMTSMA INT);10907469;10907469;0;
R20012 RANCE;40530149;40530149;15233566;
R25255 ROTOR HOUSE;32030767;32030767;0;
R35840 N.RICCI PUIG;10907535;10907535;16157275;
R50938 DESIGN GO;10907586;10907586;10902943;O_SUP334
R55531 RUSSIAN CAVIAR HOUSE;30535632;30535632;0;
R63835 BAT INTL (ROTHMANS INT);10907332;10907332;0;
R888888 псяр хмйнпонпщиред;45120595;45120595;11390230;I_SUP002
R89732 RUSS BERRIE UK LTD;10907374;10907374;0;
R99999 ROSALKO-NEVA ZAO;0;0;13698064;
RB7777 ROBERTO BRAVO;44909073;44909073;0;
RC12345 ROBERTO CAVALLI - едхмюъ ебпною;0;0;15439549;
S01607 SHISEIDO;0;0;16223584;
S01607 SHISEIDO EUROPE;10907536;10907536;0;O_SUP166
S03853 SCANNON / GUCCI P&G;10907425;10907425;16223232;
S10000 SONYA RYKIEL;10907470;10907470;16223229;
S10001 SELDICO OLD;0;0;10903002;
S10014 SAMSONITE EUROPE;10907377;10907377;0;
S10103 STORCK INTERNATIONAL;10907228;10907228;0;
S10116 ST.DUPONT;10907428;10907428;0;
S10133 SWAROVSKI JEWELLERY;10907281;10907281;0;O_SUP306
S10134 SWAROVSKI WATCH;18455689;18455689;14012059;
S10333 SCORPIO TRAVEL RETAIL;0;0;11450576;
S10444 SWAROVSKI DP JEW;0;0;10903005;
S10445 SWAROWSKI DP FIGURINS;0;0;13976024;
S10500 ннн яюйя хцпсьйх;45123641;45123641;16222994;I_SUP105
S11001 SILHOUETTE INT;10907471;10907471;0;O_SUP316
S13579 SAG TRADING LLC;0;0;15964075;
S14444 SAMSONITE;0;0;14046274;
S20002 SELDICO GIVENCHY;0;0;13978109;
S30003 SELDICO GUERLAIN;0;0;13978110;
