GLOSSARY_ID_DF;SWS_DF;GLOSSARY_ID_DP;SWS_DP;NAV_CODE;NAV_NAME
45122838;CHATEAU LESTAGE SIMON          ;;CHATEAU LESTAGE SIMON          ;B00917            ;CHATEAU LESTAGE SIMON          
45126160;CHATEAU LYNCH                  ;;CHATEAU LYNCH                  ;CHATEAU LYNCH     ;CHATEAU LYNCH                  
45122615;CHATEAU MAGENCE                ;;CHATEAU MAGENCE                ;;CHATEAU MAGENCE                
45122645;CHATEAU MARGAUX                ;;CHATEAU MARGAUX                ;B00907            ;CHATEAU MARGAUX                
45122245;CHATEAU MOULIN DE SAINT VINCENT;;CHATEAU MOULIN DE SAINT VINCENT;;CHATEAU MOULIN DE SAINT VINCENT
45122622;CHATEAU MOUTON ROTHSCHILD      ;;CHATEAU MOUTON ROTHSCHILD      ;;CHATEAU MOUTON ROTHSCHILD      
45122650;CHATEAU PALMER                 ;;CHATEAU PALMER                 ;;CHATEAU PALMER                 
45122627;CHATEAU PAVIE                  ;;CHATEAU PAVIE                  ;;CHATEAU PAVIE                  
45122779;CHATEAU PONTET NIVELLE         ;;CHATEAU PONTET NIVELLE         ;B00925            ;CHATEAU PONTET NIVELLE         
45122789;CHATEAU PONTET-CHAPPAZ         ;;CHATEAU PONTET-CHAPPAZ         ;B00926            ;CHATEAU PONTET-CHAPPAZ         
45122778;CHATEAU RELAIS DU CHEVAL BLANC ;;CHATEAU RELAIS DU CHEVAL BLANC ;B00927            ;CHATEAU RELAIS DU CHEVAL BLANC 
45122619;CHATEAU RIEUSSEC               ;;CHATEAU RIEUSSEC               ;;CHATEAU RIEUSSEC               
45122781;CHATEAU TOUR DE PERRIGAL       ;;CHATEAU TOUR DE PERRIGAL       ;B00930            ;CHATEAU TOUR DE PERRIGAL       
45122637;CHATEAU TOUR DU ROC            ;;CHATEAU TOUR DU ROC            ;;CHATEAU TOUR DU ROC            
45122290;CHATEAU TROTTE VIEILLE         ;;CHATEAU TROTTE VIEILLE         ;CHATEAU TROTTE    ;CHATEAU TROTTE VIEILLE         
45122387;CHATELLE NAPOLEON              ;;CHATELLE NAPOLEON              ;;CHATELLE NAPOLEON              
45122702;CHERICOLE                      ;;CHERICOLE                      ;;CHERICOLE                      
45122786;CHEVALIERS DE L`ORDRE          ;;CHEVALIERS DE L`ORDRE          ;B00934            ;CHEVALIERS DE L`ORDRE          
45122168;CHIVAS                         ;16223085;CHIVAS                         ;CHIVAS            ;CHIVAS                         
45122383;CHLOE                          ;16222708;CHLOE                          ;CHLOE             ;CHLOE                          
45126148;CHOBI                          ;;CHOBI                          ;;CHOBI                          
45122545;CHOPARD                        ;16223192;CHOPARD                        ;CHOPARD           ;CHOPARD                        
45126267;CHRONOSWISS                    ;;CHRONOSWISS                    ;C_SWISS           ;CHRONOSWISS                    
45122514;CHUGGINGTON                    ;16223238;CHUGGINGTON                    ;;CHUGGINGTON                    
45122739;CHURCHILLS                     ;16223117;CHURCHILLS                     ;CHURCHILLS        ;CHURCHILLS                     
45122331;CINZANO                        ;;CINZANO                        ;CINZANO           ;CINZANO                        
45122357;CIROC                          ;;CIROC                          ;;CIROC                          
45125245;CK                             ;16223610;CK                             ;                  ;CK                             
45122252;CLARINS                        ;16222710;CLARINS                        ;CLARINS           ;CLARINS                        
45123898;CLARISONIC                     ;;CLARISONIC                     ;;CLARISONIC                     
45125416;CLEMENT                        ;;CLEMENT                        ;CLEMENT           ;CLEMENT                        
45122655;CLEMENTONI                     ;16223002;CLEMENTONI                     ;CLEMENTONI        ;CLEMENTONI                     
45122266;CLINIQUE                       ;16222969;CLINIQUE                       ;CLINIQUE          ;CLINIQUE                       
45124182;CLIVE CHRISTIAN                ;16223209;CLIVE CHRISTIAN                ;B01465            ;CLIVE CHRISTIAN                
45123154;CLOUDZ                         ;16222652;CLOUDZ                         ;CLOUDZ            ;CLOUDZ                         
45122227;COCA COLA                      ;16223088;COCA COLA                      ;COCA COLA         ;COCA COLA                      
45124332;COCCINELLE                     ;;COCCINELLE                     ;COCCINELLE        ;COCCINELLE                     
45122887;COCOROSE                       ;;COCOROSE                       ;;COCOROSE                       
45123991;CODELLO                        ;16222863;CODELLO                        ;CODELLO           ;CODELLO                        
45122642;COEUR DE LION                  ;;COEUR DE LION                  ;COEUR DE LION     ;COEUR DE LION                  
45122843;COG                            ;16223282;COG                            ;;COG                            
45122236;COHIBA                         ;16223097;COHIBA                         ;COHIBA            ;COHIBA                         
45122197;COINTREAU                      ;16223083;COINTREAU                      ;COINTREAU         ;COINTREAU                      
45123873;COMBINACIONES                  ;;COMBINACIONES                  ;;COMBINACIONES                  
45122382;COTE D'OR                      ;;COTE D'OR                      ;;COTE D'OR                      
45123564;COURVOISIER                    ;;COURVOISIER                    ;COURVOISIER       ;COURVOISIER                    
45124027;CRAB MEAT                      ;;CRAB MEAT                      ;;CRAB MEAT                      
45124347;CRASHLINGS                     ;16223274;CRASHLINGS                     ;;CRASHLINGS                     
45122511;CRAYOLA                        ;16222655;CRAYOLA                        ;CRAYOLA           ;CRAYOLA                        
45122630;CREMANT DE LOIRE               ;;CREMANT DE LOIRE               ;;CREMANT DE LOIRE               
45126273;CRIOLLO                        ;;CRIOLLO                        ;;CRIOLLO                        
45122728;CUABA                          ;;CUABA                          ;;CUABA                          
45124087;CUBICFUN                       ;16223027;CUBICFUN                       ;                  ;CUBICFUN                       
45126268;CUERVO Y SOBRINOS              ;;CUERVO Y SOBRINOS              ;CUERVO Y SOBRINOS ;CUERVO Y SOBRINOS              
45122644;CUESTA-REY                     ;;CUESTA-REY                     ;C_REY             ;CUESTA-REY                     
45122797;CUTTY SARK                     ;;CUTTY SARK                     ;C_SARK            ;CUTTY SARK                     
45122829;D'OURBENAC                     ;;D'OURBENAC                     ;;D'OURBENAC                     
45124356;DAILRADE                       ;;DAILRADE                       ;DAILRADE          ;DAILRADE                       
45122687;DALMATIN                       ;;DALMATIN                       ;;DALMATIN                       
45122386;DALMORE                        ;;DALMORE                        ;DALMORE           ;DALMORE                        
45122323;DALWHINNIE                     ;;DALWHINNIE                     ;DALWHINNIE        ;DALWHINNIE                     
45124015;DANOVA SOUVENIRS               ;16223350;DANOVA SOUVENIRS               ;DANOVA SOUVENIRS  ;DANOVA SOUVENIRS               
